Classifier,Accuracy,class-0-f1-score,class-1-f1-score
LinearSVM,0.8333333333333334,0.8571428571428571,0.8
GaussianProcess,0.8333333333333334,0.8571428571428571,0.8
QDA,0.8333333333333334,0.8571428571428571,0.8
NaiveBayes,0.8333333333333334,0.8571428571428571,0.8
AdaBoost,0.8333333333333334,0.8571428571428571,0.8
NeuralNet,0.8333333333333334,0.8571428571428571,0.8
RandomForest,0.75,0.7692307692307693,0.7272727272727273
DecisionTree,0.75,0.7692307692307693,0.7272727272727273
NearestNeighbors,0.6666666666666666,0.75,0.5
RBFSVM,0.5833333333333334,0.2857142857142857,0.7058823529411765
